latitude,longitude,AvgYrlyTemp,AvgYrlyMaxTemp,AvgYrlyMinTemp,AvgYrlyHumidity,AvgYearlyRain,soilType,positiveOccurences,negativeOccurences
56.79986051,8.399860357,9.745064346,12.00819109,7.161588988,82.66396234,2.72630147,Arenosol Haplic,1,0
56.89986051,8.399860357,9.753868124,12.02718054,7.201643434,82.69814343,2.708766822,Regosol Dystric,205,0
55.09986051,8.499860357,10.23791337,12.93101455,7.53970061,82.21838414,2.478356432,Regosol Dystric,121,0
55.49986051,8.499860357,9.993642311,12.84692717,6.99145374,82.45542969,3.157808152,Cambisol Dystric,4,0
55.59986051,8.499860357,9.837313383,12.85066219,6.643534621,82.64826401,3.209589376,Podzol Haplic,1,0
55.69986051,8.499860357,9.769970703,12.81136692,6.576134418,82.83731131,3.249588974,Podzol Haplic,0,0
55.79986051,8.499860357,9.659916792,12.66777611,6.531502836,82.8278712,3.093698496,Podzol Haplic,0,0
55.89986051,8.499860357,9.68136906,12.6893956,6.623725118,82.72180587,2.947944202,Podzol Haplic,3,0
55.99986051,8.499860357,9.729508241,12.7226509,6.726519023,82.46810081,3.0046574,Podzol Haplic,0,0
56.09986051,8.499860357,9.502958449,12.43873609,6.602573844,82.66570578,3.049588974,Podzol Haplic,0,0
56.19986051,8.499860357,9.526575878,12.46541631,6.649177948,82.58774249,3.030959372,Podzol Haplic,27,0
56.29986051,8.499860357,9.521450262,12.44523625,6.644135274,82.60054775,2.958630204,Podzol Haplic,10,0
56.39986051,8.499860357,9.62002622,12.52301744,6.747835509,82.56096696,2.990411293,Luvisol Gleyic,0,0
56.49986051,8.499860357,9.579863415,12.37994569,6.746137227,82.66276223,2.89095877,Luvisol Haplic,2,0
56.59986051,8.499860357,9.588492616,12.29036012,6.821644237,82.62416217,2.778904243,Luvisol Gleyic,5,0
56.69986051,8.499860357,9.703892204,12.3124398,6.946707112,82.4907377,2.72356141,Luvisol Gleyic,6,0
56.79986051,8.499860357,9.646519826,12.15128692,6.894490448,82.72942635,2.71041126,Luvisol Gleyic,0,0
56.89986051,8.499860357,9.57010381,12.02728756,6.888850466,82.73647198,2.708766822,Luvisol Gleyic,8,0
56.99986051,8.499860357,9.403125,11.8417554,6.826328393,82.8068827,2.72191831,Regosol Dystric,121,0
54.79986052,8.599860356,10.33717559,13.40805463,7.231892792,81.97839084,2.68657561,Fluvisol Eutric,0,0
54.99986051,8.599860356,10.20016521,13.12539464,7.249539143,82.25401629,2.58547982,Podzol Haplic,18,0
55.39986051,8.599860356,9.971944563,13.0896471,6.638356164,82.43327945,3.049041832,Fluvisol Eutric,0,0
55.49986051,8.599860356,9.737697988,13.07723272,6.196304447,82.65696483,3.221917808,Podzol Haplic,3,0
55.59986051,8.599860356,9.744632251,12.99112933,6.304629308,82.7334714,3.239451787,Podzol Haplic,7,0
55.69986051,8.599860356,9.718986783,12.96646511,6.303943038,82.72950053,3.239177547,Podzol Haplic,0,0
55.79986051,8.599860356,9.567064426,12.81031946,6.227507625,82.83979949,3.181370398,Podzol Haplic,1,0
55.89986051,8.599860356,9.541261103,12.77619595,6.214518006,82.81517386,3.048493351,Podzol Haplic,26,0
55.99986051,8.599860356,9.584439212,12.84898866,6.291894531,82.59778904,3.083012829,Podzol Haplic,4,0
56.09986051,8.599860356,9.397012789,12.60594767,6.213285263,82.70112774,3.106575744,Podzol Haplic,4,0
56.19986051,8.599860356,9.32835777,12.51425246,6.187914705,82.68258693,3.123835148,Podzol Haplic,3,0
56.29986051,8.599860356,9.325288955,12.49536735,6.219755324,82.64676339,2.985754227,Podzol Haplic,2,0
56.39986051,8.599860356,9.469616198,12.62589095,6.354108251,82.49986323,2.932602138,Luvisol Gleyic,0,0
56.49986051,8.599860356,9.43578232,12.49443359,6.366684503,82.64883576,2.8476713,Cambisol Dystric,0,0
56.59986051,8.599860356,9.576708984,12.51487853,6.56651929,82.48661808,2.787945306,Cambisol Dystric,5,0
56.69986051,8.599860356,9.557094125,12.37788822,6.622741866,82.56039412,2.726850452,Luvisol Gleyic,2,0
56.79986051,8.599860356,9.546686376,12.26413875,6.653317637,82.66198319,2.698904377,Luvisol Gleyic,4,0
56.89986051,8.599860356,9.357727552,11.99991706,6.570766668,82.78782924,2.696712463,Luvisol Gleyic,0,0
56.99986051,8.599860356,9.191590192,11.78035772,6.506301504,82.96527532,2.72191831,Arenosol Haplic,181,0
54.69986052,8.699860356,10.26016495,13.52255324,6.826739084,82.00123355,2.765205446,Fluvisol Eutric,0,0
54.79986052,8.699860356,10.21098767,13.4569871,6.801918343,81.99401042,2.68657561,Fluvisol Eutric,0,0
54.89986052,8.699860356,10.33717559,13.40805463,7.231892792,81.97839084,2.743836118,Fluvisol Eutric,0,0
54.99986051,8.699860356,10.10274173,13.17626953,6.889127381,82.1340559,2.58547982,Podzol Haplic,0,0
55.09986051,8.699860356,10.20016521,13.12539464,7.249539143,82.25401629,2.752601937,Fluvisol Eutric,0,0
55.19986051,8.699860356,10.12005097,13.02767016,6.992465085,82.0812399,2.842465753,Podzol Haplic,28,0
55.29986051,8.699860356,10.08852138,13.10435707,6.82934169,82.19987912,2.898082994,Podzol Haplic,0,0
55.39986051,8.699860356,9.901613335,13.11602365,6.438768862,82.43076759,3.049041832,Cambisol Dystric,0,0
55.49986051,8.699860356,9.971944563,13.0896471,6.638356164,82.43327945,3.214520682,Cambisol Dystric,0,0
55.59986051,8.699860356,9.737697988,13.07723272,6.196304447,82.65696483,3.227944403,Podzol Haplic,26,0
55.69986051,8.699860356,9.652712302,13.05824593,6.087068573,82.80872065,3.236985967,Podzol Haplic,1,0
55.79986051,8.699860356,9.514490582,12.93509471,5.971396752,82.88970361,3.198355897,Podzol Haplic,1,0
55.89986051,8.699860356,9.45463399,12.90483064,5.922109107,82.80667364,3.142465419,Podzol Haplic,2,0
55.99986051,8.699860356,9.432140277,12.94270923,5.908135568,82.56967076,3.102739392,Podzol Haplic,0,0
56.09986051,8.699860356,9.322547892,12.7783872,5.876793932,82.68873643,3.122465954,Podzol Haplic,10,0
56.19986051,8.699860356,9.214963479,12.63405394,5.841893193,82.75365668,3.093971733,Cambisol Dystric,0,0
56.29986051,8.699860356,9.182471372,12.56369997,5.835154912,82.72277627,2.959452924,Podzol Haplic,0,0
56.39986051,8.699860356,9.310736836,12.72280073,5.946985365,82.48987228,2.856712864,Luvisol Gleyic,0,0
56.49986051,8.699860356,9.364107984,12.67063089,6.083809798,82.64738498,2.789041096,Cambisol Dystric,1,0
56.59986051,8.699860356,9.479868097,12.63947988,6.27016334,82.47518222,2.728766956,Cambisol Dystric,2,0
56.69986051,8.699860356,9.459505431,12.47587356,6.347016133,82.60418122,2.697534347,Luvisol Haplic,0,0
56.79986051,8.699860356,9.315360793,12.18084734,6.292275123,82.84964229,2.64876709,Luvisol Gleyic,0,0
56.89986051,8.699860356,9.243447667,12.04728435,6.314412323,82.78299665,2.683287069,Cambisol Dystric,0,0
56.99986051,8.699860356,9.086934798,11.82345489,6.277395254,82.76637012,2.696712463,Gleysol Eutric,28,0
54.59986052,8.799860356,10.2500301,13.65389287,6.567999518,82.05625755,3.005479786,Fluvisol Eutric,0,0
54.69986052,8.799860356,10.15852285,13.58118713,6.422246896,81.86430406,2.765205446,Fluvisol Eutric,0,0
54.79986052,8.799860356,10.26016495,13.52255324,6.826739084,82.00123355,2.692602372,Podzol Haplic,0,0
54.89986052,8.799860356,10.21098767,13.4569871,6.801918343,81.99401042,2.743836118,Cambisol Dystric,1,0
54.99986051,8.799860356,10.14145374,13.31304313,6.825448149,82.11921658,2.729041196,Podzol Haplic,0,0
55.09986051,8.799860356,10.10274173,13.17626953,6.889127381,82.1340559,2.752601937,Podzol Haplic,4,0
55.19986051,8.799860356,10.09813851,13.07285022,6.943644317,82.16893422,2.842465753,Cambisol Dystric,5,0
55.29986051,8.799860356,10.12005097,13.02767016,6.992465085,82.0812399,2.898082994,Podzol Haplic,0,0
55.39986051,8.799860356,10.08852138,13.10435707,6.82934169,82.19987912,3.084931841,Podzol Haplic,0,0
55.49986051,8.799860356,9.901613335,13.11602365,6.438768862,82.43076759,3.203286534,Cambisol Dystric,5,0
55.59986051,8.799860356,9.739098619,13.15140464,6.105563062,82.66214276,3.275890277,Podzol Haplic,6,0
55.69986051,8.799860356,9.582030581,13.09010863,5.897973298,82.81788908,3.244383428,Podzol Haplic,4,0
55.79986051,8.799860356,9.486272608,13.05104077,5.768683781,82.83307108,3.233698429,Podzol Haplic,12,0
55.89986051,8.799860356,9.407918852,13.03548266,5.683067343,82.67709446,3.179451386,Podzol Haplic,2,0
55.99986051,8.799860356,9.356713533,12.98914945,5.633204463,82.64918998,3.139452456,Podzol Haplic,0,0
56.09986051,8.799860356,9.2181955,12.84739539,5.567998515,82.51088881,3.119177413,Podzol Haplic,0,0
56.19986051,8.799860356,9.163974208,12.76068466,5.582547959,82.63338919,3.052329035,Cambisol Dystric,1,0
56.29986051,8.799860356,9.141974797,12.70482395,5.588440778,82.68114149,2.953423654,Podzol Haplic,6,0
56.39986051,8.799860356,9.216518622,12.77876712,5.679009257,82.57194553,2.868767391,Luvisol Gleyic,0,0
56.49986051,8.799860356,9.241451734,12.69673855,5.801867509,82.57781948,2.77589011,Podzol Haplic,16,0
56.59986051,8.799860356,9.322378665,12.64172464,5.969341957,82.53020833,2.716438523,Luvisol Haplic,9,0
56.69986051,8.799860356,9.321971318,12.49038019,6.058707459,82.56291032,2.664931373,Cambisol Dystric,3,0
56.79986051,8.799860356,9.200082272,12.21219633,6.047507759,82.79267879,2.598629301,Cambisol Dystric,0,0
56.89986051,8.799860356,9.129999866,12.05079998,6.075286949,82.90552377,2.636163748,Cambisol Dystric,0,0
56.99986051,8.799860356,9.094794119,11.97523009,6.137861194,82.73518834,2.648218442,Regosol Dystric,62,0
54.49986052,8.899860355,10.28010756,13.74950904,6.451616679,82.30295681,3.088218375,Fluvisol Eutric,0,0
54.59986052,8.899860355,10.14868565,13.63999893,6.259647234,82.1242513,3.005479786,Cambisol Dystric,0,0
54.69986052,8.899860355,10.2500301,13.65389287,6.567999518,82.05625755,2.880822921,Podzol Haplic,0,0
54.79986052,8.899860355,10.15852285,13.58118713,6.422246896,81.86430406,2.754246709,Podzol Haplic,0,0
54.89986052,8.899860355,10.06402638,13.47459867,6.363642444,82.00678995,2.818903842,Podzol Haplic,0,0
54.99986051,8.899860355,9.992822266,13.32712436,6.44353529,82.13657808,2.848492682,Podzol Haplic,0,0
55.09986051,8.899860355,9.979616599,13.19767364,6.551481566,82.16376327,2.878082526,Podzol Haplic,13,0
55.19986051,8.899860355,9.967123288,13.10270628,6.603920965,82.19109815,2.912602338,Podzol Haplic,69,0
55.29986051,8.899860355,9.965916631,13.07624411,6.623996013,82.15268222,2.982739592,Podzol Haplic,0,0
55.39986051,8.899860355,9.984300754,13.19033069,6.546606111,82.19731001,3.142465419,Podzol Haplic,0,0
55.49986051,8.899860355,9.81328727,13.15175112,6.21725907,82.59417245,3.229863081,Podzol Haplic,4,0
55.59986051,8.899860355,9.653449406,13.13703981,5.925805999,82.80248749,3.307671032,Podzol Haplic,8,0
55.69986051,8.899860355,9.510411762,13.11512735,5.702357128,82.95004486,3.298904377,Podzol Haplic,0,0
55.79986051,8.899860355,9.419885756,13.09136879,5.547917113,82.79910477,3.317261077,Podzol Haplic,6,0
55.89986051,8.899860355,9.308245933,13.04473726,5.431370398,82.76436349,3.234520815,Podzol Haplic,6,0
55.99986051,8.899860355,9.249696998,13.00671554,5.378793878,82.7602416,3.191232007,Podzol Haplic,2,0
