latitude,longitude,tg,tx,tn,hu,rr,soilType,pH_CaCl2,soil_moisture,positiveOccurrence,negativeOccurrence,label
54.59985934992875,8.799860355584407,10.26452068172089,13.655811215753424,6.560084011130137,82.11809931802486,3.03808158979024,Gleysol Thionic,7.0,48.71893310546875,2,0,
54.59985934992875,8.899860355184359,10.153254093535958,13.646358625856164,6.235862585616438,82.16361468404696,3.2487675915025687,Fluvisol Eutric,7.0,48.71893310546875,0,0,
54.59985934992875,8.999860354784317,10.2835910744863,13.756766374143837,6.455399186643835,82.37077542299724,3.1035611087328765,Cambisol Dystric,5.3,48.71893310546875,0,0,
54.59985934992875,9.099860354384267,10.221670323202057,13.778856752996576,6.270713827054794,82.35831955083566,3.0150688275898974,Podzol Haplic,5.3,54.62480926513672,0,0,
54.59985934992875,9.19986035398422,10.174763885916096,13.754373127140411,6.208823175299657,82.15393680167598,3.112053523651541,Cambisol Dystric,5.7,54.62480926513672,0,0,
54.59985934992875,9.299860353584172,10.18246334546233,13.792004227311644,6.24180690817637,81.80255533854167,3.111506715539384,Histosol Eutric,5.3,55.9087142944336,0,0,
54.59985934992875,9.399860353184124,10.2423828125,13.894929901541095,6.338627060145548,81.600766184573,3.076712663206336,Histosol Eutric,5.3,55.9087142944336,0,0,
54.59985934992875,9.499860352784085,10.18992267765411,13.907728221318491,6.393366732662671,81.32045395194986,3.132604144370719,Histosol Eutric,6.5,55.9087142944336,0,0,
54.59985934992875,9.599860352384034,10.134818466395547,13.926007330907536,6.446107127568493,81.25227500872904,3.4210964255136984,Luvisol Haplic,6.5,54.27481842041016,0,0,
54.59985934992875,9.699860351983986,10.147837516053082,13.86701492936644,6.446192075128424,81.57670062154696,3.3076713666523974,Luvisol Haplic,6.3,54.27481842041016,0,0,
54.59985934992875,9.799860351583938,10.143809530179794,13.763229077482876,6.430902183219178,81.77750605955679,2.9501371200770548,Luvisol Haplic,5.1,50.69281768798828,0,0,
54.59985934992875,9.89986035118389,10.125806667380138,13.607780393835617,6.444904484160959,82.06559694406077,2.6756165386879283,Luvisol Haplic,5.0,50.69281768798828,0,0,
54.59985934992875,9.999860350783848,10.184819804152395,13.531124250856164,6.5870418182791095,82.08797133264463,2.5569862679259416,Luvisol Haplic,5.0,50.69281768798828,0,0,
54.59985934992875,11.399860345183184,10.217149373929796,13.119539276541095,7.096192075128425,82.65155602555248,1.7068493150684931,Cambisol Dystric,6.4,42.60245895385742,0,0,
54.59985934992875,11.499860344783144,10.18260715432363,13.01775337114726,7.122272313784246,82.8452984720304,1.6320549951840753,Gleysol Eutric,6.4,42.60245895385742,0,0,
54.59985934992875,11.89986034318295,10.113120719178085,12.482716181506849,7.642386156892123,83.28695956143466,1.5536985632491438,Cambisol Dystric,6.9,46.34379196166992,0,0,
54.69985934550187,8.399860357184593,10.564877862799657,13.3121120505137,7.940960108090754,81.94927285318559,2.681918376765839,Gleysol Thionic,5.1,43.50200271606445,0,0,
54.69985934550187,8.699860355984455,10.249668905179794,13.519064372859589,6.815699245505137,82.0224231698895,2.7619174068921235,Gleysol Thionic,5.1,41.65767288208008,0,0,
54.69985934550187,8.799860355584407,10.154407239940069,13.589561483304797,6.4153694884417805,81.99675738087016,2.868766721960617,Fluvisol Eutric,7.0,48.71893310546875,0,0,
54.69985934550187,8.899860355184359,10.26452068172089,13.655811215753424,6.560084011130137,82.11809931802486,3.03808158979024,Fluvisol Eutric,7.0,48.71893310546875,0,0,
54.69985934550187,8.999860354784317,10.153254093535958,13.646358625856164,6.235862585616438,82.16361468404696,3.2487675915025687,Podzol Haplic,7.0,48.71893310546875,0,0,
54.69985934550187,9.099860354384267,10.129699539811645,13.669147313784247,6.0983291416952055,82.13492165977961,3.2838362184289385,Histosol Eutric,5.7,54.62480926513672,0,0,
54.69985934550187,9.19986035398422,10.108793075770548,13.634690710616438,6.058327536386987,81.99497922437673,3.538355495505137,Podzol Haplic,5.7,54.62480926513672,0,0,
54.69985934550187,9.299860353584172,10.14101428724315,13.616572131849315,6.1104926958476025,81.86935763888889,3.4060265946061645,Podzol Haplic,5.3,55.9087142944336,0,0,
54.69985934550187,9.399860353184124,10.230495505136986,13.65441459760274,6.231391133347603,81.72540690104167,3.2134243899828765,Podzol Haplic,5.3,55.9087142944336,0,0,
54.69985934550187,9.499860352784085,10.20392029644692,13.634246575342466,6.314633722174658,81.63439464036313,3.2150694964683217,Podzol Haplic,5.8,55.9087142944336,0,0,
54.69985934550187,9.599860352384034,10.119616866438356,13.56413875214041,6.381068065068493,81.71425999476257,3.212328767123288,Luvisol Haplic,5.8,54.27481842041016,0,0,
54.69985934550187,9.699860351983986,10.115124678938356,13.53572479666096,6.498688998287672,81.92123117209141,3.2150684931506848,Luvisol Haplic,6.3,54.27481842041016,0,0,
54.69985934550187,9.799860351583938,10.081149668236302,13.433805115582192,6.543590806934931,82.26494705578513,2.993698830800514,Luvisol Haplic,5.9,50.69281768798828,0,0,
54.69985934550187,9.89986035118389,10.07126297624144,13.342631635273971,6.561754200556507,82.62278395432692,2.6975346813463186,Luvisol Haplic,5.0,50.69281768798828,0,0,
54.69985934550187,9.999860350783848,10.150406009203769,13.38238709332192,6.602029377140411,82.61744719529086,2.426027230040668,Luvisol Haplic,5.0,50.69281768798828,0,0,
54.69985934550187,11.09986034638333,10.363257839255136,13.129640678510274,7.569674389982877,81.78495008680555,1.74630126953125,Cambisol Dystric,6.8,42.60245895385742,0,0,
